ID,description,prise,region,promo_price,url
3226587,Конструктор LEGO Minecraft Приключения в тайге 21162,759,"['RU-MOW', 'RU-SPE']",899,https://www.detmir.ru/product/index/id/3226587/
3596785,Конструктор LEGO Friends Американские горки на Волшебной ярмарке 41685,4999,"['RU-MOW', 'RU-SPE']",8499,https://www.detmir.ru/product/index/id/3596785/
3405649,Конструктор LEGO Technic Квадроцикл 42124,7419,"['RU-MOW', 'RU-SPE']",12499,https://www.detmir.ru/product/index/id/3405649/
3244592,Конструктор LEGO Ninjago Подземелье колдуна-скелета 71722,5399,"['RU-MOW', 'RU-SPE']",8999,https://www.detmir.ru/product/index/id/3244592/
3226644,Конструктор LEGO Disney Princess Книга приключений Анны и Эльзы 43175,1079,"['RU-MOW', 'RU-SPE']",1699,https://www.detmir.ru/product/index/id/3226644/
3405622,Конструктор LEGO Ninjago Деревня Хранителей 71747,2829,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3405622/
3405588,Конструктор LEGO City Great Vehicles Отпуск в доме на колесах 60283,969,"['RU-MOW', 'RU-SPE']",1499,https://www.detmir.ru/product/index/id/3405588/
3596975,Конструктор LEGO Ninjago Водный робот Ллойда 71750,1059,"['RU-MOW', 'RU-SPE']",1699,https://www.detmir.ru/product/index/id/3596975/
3596761,Конструктор LEGO DUPLO Town Самолет и аэропорт 10961,1499,"['RU-MOW', 'RU-SPE']",2499,https://www.detmir.ru/product/index/id/3596761/
3244608,Конструктор LEGO Star Wars AT-AT 75288,8339,"['RU-MOW', 'RU-SPE']",13999,https://www.detmir.ru/product/index/id/3244608/
3142077,Конструктор LEGO City Fire Пожар в бургер-кафе 60214,1669,"['RU-MOW', 'RU-SPE']",2499,https://www.detmir.ru/product/index/id/3142077/
3596977,Конструктор LEGO Ninjago Атака огненного дракона 71753,2839,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3596977/
3226584,Конструктор LEGO Minecraft Питомник панд 21158,1169,"['RU-MOW', 'RU-SPE']",1799,https://www.detmir.ru/product/index/id/3226584/
3226651,Конструктор LEGO City Police Полицейский вертолетный транспорт 60244,2419,"['RU-MOW', 'RU-SPE']",3799,https://www.detmir.ru/product/index/id/3226651/
3405548,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444,1559,"['RU-MOW', 'RU-SPE']",2599,https://www.detmir.ru/product/index/id/3405548/
3597029,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва 76192,5099,"['RU-MOW', 'RU-SPE']",8499,https://www.detmir.ru/product/index/id/3597029/
2496001,Конструктор LEGO Creator Грозный динозавр (31058),839,"['RU-MOW', 'RU-SPE']",1399,https://www.detmir.ru/product/index/id/2496001/
